title,journal,year,text,label
New Drug Diffusion when Forward-Looking Physicians Learn from Patient Feedback and Detailing,Journal of Marketing Research,2012,"The authors study physicians? prescription choices when uncertainty about drug efficacy is resolved through two channels: firms? marketing activities (e.g., detailing) and patients? experiences with the drugs. They first provide empirical evidence that suggests that the well-understood information incentive for physicians to experiment with new drugs is reduced when physicians anticipate future detailing. Therefore, increased detailing activity triggers opposing forces: Adoption is hastened as physicians become informed (assuming prior knowledge is initially low) and slows as they reduce experimentation and instead obtain information from detailing at no cost. The authors then estimate a dynamic Bayesian learning model that embodies these trade-offs using physician-level data on prescription choices and detailing received in the months surrounding the introduction of two erectile dysfunction drugs, Levitra and Cialis. Detailing elasticities are lower when physicians anticipate changes in detailing activity than when such changes are unexpected. Accordingly, the authors conclude that to maximize the effect of detailing, firms should avoid announcing increases in detailing activities.",1
Delight by Design: The Role of Hedonic versus Utilitarian Benefits,Journal of Marketing,2008,"What is the relationship between product design benefits (hedonic versus utilitarian) and the postconsumption feelings of customer delight and satisfaction? The primary insights this research provides are as follows: (1) Products that meet or exceed customers? utilitarian needs and fulfill prevention goals enhance customer satisfaction (e.g., a car with antilock brakes and vehicle stability assist), and (2) products that meet or exceed customers? hedonic wants and fulfill promotion goals enhance customer delight (e.g., a car with panoramic sunroof and six-speaker audio system). Furthermore, the research finds that the primary antecedent feelings of satisfaction are the prevention emotions of confidence and security provided by utilitarian benefits, whereas the primary antecedent feelings of delight are the promotion emotions of cheerfulness and excitement provided by hedonic benefits. Finally, the results show that delighting customers improves customer loyalty, as measured by word of mouth and repurchase intentions, more than merely satisfying them. The authors discuss the theoretical contribution and strategic insights the research provides for product designers and marketers.",0
Comparing Apples to Apples or Apples to Oranges: The Role of Mental Representation in Choice Difficulty,Journal of Marketing Research,2013,"Contrary to the general view that decision difficulty is a stable characteristic of specific choice sets, the authors propose that decision difficulty depends on how the choice set is mentally represented. Comparing the difficulty associated with comparable and noncomparable choice sets, the authors find that changes in mental representation can make the same choice feel more or less difficult. They propose that the representation level influences the type of decision criterion that becomes readily available; whether this available criterion is appropriate for comparing the options in turn affects choice difficulty. Four studies demonstrate the proposed effect of representation level on the difficulty of comparable and noncomparable choices and its downstream implications for decision satisfaction.",1
Preference Minorities and the Internet,Journal of Marketing Research,2011,"Offline retailers face trading area and shelf space constraints, so they offer products tailored to the needs of the majority. Consumers whose preferences are dissimilar to the majority??preference minorities??are underserved offline and should be more likely to shop online. The authors use sales data from Diapers.com, the leading U.S. online retailer for baby diapers, to show why geographic variation in preference minority status of target customers explains geographic variation in online sales. They find that, holding the absolute number of the target customers constant, online category sales are more than 50% higher in locations where customers suffer from preference isolation. Because customers in the preference minority face higher offline shopping costs, they are also less price sensitive. Niche brands, compared with popular brands, show even greater offline-to-online sales substitution. This greater sensitivity to preference isolation means that these brands in the tail of the long tail distribution draw a greater proportion of their total sales from high?preference minority regions. The authors conclude with a discussion of implications for online retailing research and practice.",1
Doing Good in Another Neighborhood: Attributions of CSR Motives Depend on Corporate Nationality and Cultural Orientation,Journal of International Marketing,2016,"In the past few decades, consumers around the world have placed increasing value on corporate social responsibility (CSR). As a response, companies entering new markets have boosted spending in areas like cause-related marketing to improve their reputation and create goodwill among consumers in the host country. However, these efforts may not be effective for all consumers or in all countries. Drawing upon research on intergroup bias and attribution theory, the present work explores how consumers from individualistic (the United States and Canada) and collectivistic (South Korea and India) cultures form attributions and attitudes about the CSR activities of foreign and domestic firms. Across three studies, we find that collectivistic (but not individualistic) consumers make more altruistic (but not egoistic) attributions about the CSR motives of domestic (vs. foreign) companies, and that altruistic attribution leads to more positive attitudes toward the firm. We also showed that collectivists? bias against foreign firms is attenuated when level of commitment to the cause (as conveyed by CSR duration) is high.",0
Choice as an End versus a Means,Journal of Marketing Research,2011,"This article investigates the consequence of the choice process for mental resources and the desire to obtain the selected products. The authors draw a distinction between instrumental choice, which serves preexisting consumption goals, and experiential choice, which serves as its own end. Across four studies, they find that instrumental choice undermines mental resources and experiential choice increases these resources. As a result, although experiential choice is made with no consumption goal in mind, compared with instrumental choice, it increases the desire to obtain the selected product. The authors demonstrate these effects on choice among a variety of consumer products (e.g., vacation packages, novels, flower bouquets).",1
Spatiotemporal Analysis of Imitation Behavior across New Buyers at an Online Grocery Retailer,Journal of Marketing Research,2010,"For Internet retailers, demand propagation varies not only through time but also over space. The authors develop a Bayesian spatiotemporal model to study two imitation effects in the evolution of demand at an Internet retailer. Building on previous literature, the authors allow imitation behavior to be reflected both in geographic proximity and in demographic similarity. As these imitation effects can be time varying, the authors specify their dynamics using a ?polynomial smoother? embedded within the Bayesian framework. They apply the model to new buyers at Netgrocer. com and calibrate it on 45 months of data that span all 1459 zip codes in Pennsylvania. The authors find that the proximity effect is especially strong in the early phases of demand evolution, whereas the similarity effect becomes more important with time. Over time, new buyers are increasingly likely to emerge from new zip codes beyond the ?core set? of zip codes that produce the early new buyers, and spatial concentration declines. The authors explore the managerial implications stemming from these findings through a hypothetical ?seeding? experiment. They also discuss other implications for Internet retailing practice.",1
Can Brands Move in from the Outside? How Moral Identity Enhances Out-Group Brand Attitudes,Journal of Marketing,2013,"Consumers tend to have more favorable attitudes for their in-group brands than their out-group brands. However, little is known regarding how brand managers can overcome consumers? negative attitudes toward out-group brands. Drawing on the moral identity literature, the authors theorize that moral identity may enhance out-group (but not in-group) brand attitudes through decreased psychological distance. Four studies demonstrate that moral identity increases out-group brand attitudes. The authors also identify two important boundary conditions of this moral identity effect. These findings suggest that brand managers who want to overcome the less-than-favorable perceptions associated with out-group brands may benefit from drawing on consumers? moral identity in marketing communications. Theoretically, this research establishes that moral identity extends beyond prosocial behaviors to influence marketplace judgments (i.e., brand attitudes and categorization).",0
Retail Pricing Strategies in Recession Economies: The Case of Taiwan,Journal of International Marketing,2004,"In a recession economy, consumers tend to be more sensitive about price, and firms have difficulty obtaining necessary resources for effective pricing. However, previous studies into pricing appear to overlook the possible effect of economic environment on the effectiveness of a pricing strategy. By observing the current recession and the resultant price war in Asian countries, the authors examine marketing decisions by retailers in a recession economy. The authors propose a contingent model, based on organizational resources and consumer price consciousness, to guide the examination of the strategy?performance bond. The results show that only resource-abundant retailers are able to use strategies proposed in this study to thrive in a recession. A value-centric strategy outperforms all other approaches.",0
"Job Satisfaction, Job Performance, and Effort: A Reexamination Using Agency Theory",Journal of Marketing,2006,"The objective of this article is to clarify ambiguities in the literature regarding the relationships among three key constructs of work relationships: effort, job performance, and job satisfaction. The relationship between job performance and job satisfaction is of central interest to research in organizational psychology. However, empirical research in that area finds that the link between these constructs is weak at best. A negative effect of effort on job satisfaction is consistent with agency theory, but there is limited empirical evidence to support this assumption. Moreover, some studies have found a positive effect of effort on job satisfaction. Using a model that incorporates the main constructs from agency theory and organizational psychology, the current study finds a negative, direct effect of effort and a positive, direct effect of job performance on job satisfaction. The authors show that conflicting findings in the literature are the result of inconsistency in both the measurement and the definition of constructs across studies that do not fully account for all the relationships between constructs. The current findings emphasize the need to distinguish clearly between factors that represent employees' inputs in a work relationship (i.e., effort) and those that represent their outputs (i.e., job performance). The article also demonstrates the importance of properly accounting or controlling for all key variables to eliminate biases that can arise in empirical research on work relationships.",0
Competitive Pricing of Information: A Longitudinal Experiment,Journal of Marketing Research,2007,"Theoretical work on the pricing of information reveals that competition between independent information sellers can result in prices that are negatively related to the quality or reliability of the information. The theory argues that when information products are unreliable (low quality), independent products become complements, and competition can increase prices. The goal of this study is to test empirically the theory's counterintuitive predictions with the help of an experimental market based on a business simulation. Information products are market forecasts that are available from different competing information sellers; information buyers use these products to make repeated marketing decisions. Sellers set prices to maximize their profit, and buyers decide from which sellers to buy to maximize their own profit (through their marketing decisions). Buyers and sellers are assigned to one of two quality conditions: high-quality, reliable information and low-quality, unreliable information. The reliability of information products (forecasts) is exogenously set and must be inferred by both buyers and sellers from historical forecasts about another market. The results from this experimental market fully support the theory. After some experimentation, prices converge to levels that are strikingly different between the two quality conditions: Prices are significantly higher when the information sold is unreliable (low quality). Moreover, with few competing sellers of low-quality information, prices are higher than with a single seller or with a large number of competing sellers.",1
An Empirical Test of Warranty Theories in the U.S. Computer Server and Automobile Markets,Journal of Marketing,2011,"Four theories on the economic rationale for warranty provision have been proposed in the literature: (1) Warranties provide insurance to customers and work as a risk-sharing mechanism, (2) warranties are a sorting mechanism and work as a means for second-degree price discrimination among customers with different risk preferences, (3) warranties work as a signal of product quality to consumers under information asymmetry, and (4) warranties work as an incentive mechanism for firms to reveal and improve product quality. The authors examine the conditions under which each theory would apply and derive testable implications from the data. They then assess whether these theories have empirical support in the U.S. computer server and automobile markets in the context of manufacturer base warranties. The results indicate that in both markets, warranties primarily provide customers with insurance against product failure, and warranties of different durations work as a sorting mechanism across customers with different levels of risk aversion. Warranties are not used to signal product quality or to provide an incentive for manufacturers to reveal or improve product quality.",0
Assessing the Economic Value of Distribution Channels: An Application to the Personal Computer Industry,Journal of Marketing Research,2007,"Evaluating proposed changes in channels of distribution and matching products to channels in multichannel product markets are difficult tasks for the management of any company. Such policy-oriented issues cannot be addressed easily by methods such as controlled experiments in test markets, which are feasible methods for evaluating pricing and advertising decisions, or by using historical sales/profits data. In this article, the authors show how the framework of structural modeling and policy simulations can be used to evaluate such policy changes. They also show how to assess the economic value of each channel to each firm and to its customers. They apply such policy simulations to the personal computer market, which is characterized by multiple firms competing through various channels using multiple products. The analysis quantifies the profit impact on firms and the welfare impact on consumers of many proposed channel actions and provides an economic rationale for different actions observed in this marketplace, such as decisions to add or drop marketing channels. The authors also simulate the effects of the Hewlett-Packard?Compaq merger but go beyond a standard merger analysis by evaluating the effects of various potential channel actions co-incident with the merger.",1
Leveraging Interfirm Relationships in China: Western Relational Governance or Guanxi? Domestic Versus Foreign Firms,Journal of International Marketing,2020,"With the growing importance of strategic alliances and supply chains as competitive units, academics and practitioners are interested in understanding the techniques used by firms to leverage interfirm relationships to gain a competitive advantage. Studies conducted in the Western context underline the role of relational governance (i.e., the modern Western way), whereas works in the Chinese context highlight the importance of guanxi (i.e., the traditional Chinese way). Today?s Chinese economy operates as a hybrid of the Western modern business model and traditional Chinese patterns with the coexistence of Western relational governance and guanxi. Therefore, this study addresses two issues: (1) whether these two types of governance interact as substitutes or complements in leveraging interfirm relationships and (2) whether and how foreign firms differ from their Chinese domestic counterparts in the use of these two types of governance to improve performance. Drawing on data collected from 132 third-party logistics providers in China, this study shows that Western relational governance and guanxi function as substitutes in improving performance. Moreover, while guanxi contributes to performance in a similar manner in Chinese domestic firms and foreign firms, Western relational governance is more effective for foreign firms than for Chinese domestic firms. Furthermore, the joint role (i.e., interaction effect) of Western relational governance and guanxi in improving performance also differs: these two forms of governance function as substitutes in foreign firms, whereas they have no significant interaction in Chinese domestic firms.",0
Savoring an Upcoming Experience Affects Ongoing and Remembered Consumption Enjoyment,Journal of Marketing,2017,"Five studies, using diverse methodologies, distinct consumption experiences, and different manipulations, demonstrate the novel finding that savoring an upcoming consumption experience heightens enjoyment of the experience both as it unfolds in real time (ongoing enjoyment) and when it is remembered (remembered enjoyment). This theory predicts that the process of savoring an upcoming experience creates affective memory traces that are reactivated and integrated into the actual and remembered consumption experience. Consistent with this theorizing, factors that interfere with consumers? motivation, ability, or opportunity to form or retrieve affective memory traces of savoring an upcoming experience limit the effect of savoring on ongoing and remembered consumption enjoyment. Affective expectations, moods, imagery, and mindsets do not explain the observed findings.",0
Incentives versus Reciprocity: Insights from a Field Experiment,Journal of Marketing Research,2017,"The authors conduct a field experiment in which they vary the sales force compensation scheme at an Asian enterprise that sells consumer durable goods. With variation generated by the experimental treatments, the authors model sales force performance to identify the effectiveness of various forms of conditional and unconditional compensation. They account for salesperson heterogeneity using a hierarchical Bayesian framework to estimate the model. They find conditional compensation in the form of quota bonus incentives to improve performance; however, such compensation may lead to lower future performance. The authors find little difference in effectiveness between a quota bonus plan and punitive bonus plans framed as a penalty for not achieving quota. They find that unconditional compensation, in the form of reciprocity, is effective at improving sales force performance only when it is given as a delayed reward; however, the effectiveness of this plan decreases with repeated exposure. The authors also find heterogeneity in the impact of compensation on performance across salespeople, such that unconditional compensation is more effective for salespeople with high base performance, whereas conditional compensation is equally effective across all types of salespeople.",1
International Standardization Strategies: The Experiences of Australian and New Zealand Firms Operating in the Greater China Markets,Journal of International Marketing,2003,"Drawing on the findings of previous theoretical and empirical studies, this study proposes two frameworks for examining standardization strategies in home?host and intermarket scenarios. For the first time, internal and external factors, extent of standardization, program and process, performance, and home?host/intermarket scenarios are included in one study. In its examination of the proposed research frameworks, the study relies on the experiences of 146 Australian and New Zealand firms operating in the Greater China markets. Factors identified as significantly related to the selection of standardized marketing strategies in the home?host scenario include product type, consumer behavior, marketing infrastructure, political environment, and firm size. Factors suggested by the multivariate regression analysis as significantly related to standardized strategies in the intermarket scenario are product type, international business experience, competitive environment, political and legal aspects, and firm size. For the first time, it is suggested that the standardization of distribution and product strategies has an effect on firm performance in the intermarket scenario.",0
"The Seesaw Self: Possessions, Identity (De)activation, and Task Performance",Journal of Marketing Research,2018,"Research has shown that possessions have the power to change consumers? self-construal and activate different aspects of the self. Building on this literature, the authors suggest that the salience of product ownership not only activates the product-related self but also simultaneously deactivates product-unrelated selves, resulting in impaired performance on tasks unrelated to the activated self. In five experiments, we first elicit feelings of ownership over a product (e.g., a calculator) to activate a product-related identity (e.g., the math self). Participants then engage in a task that is labeled as being a product-related task (e.g., a math task) or a product-unrelated task (e.g., a visual task). Although the task is the same, participants in the ownership condition perform worse on a task labeled as product-unrelated than those in the baseline condition do. Support for the underlying identity activation process comes from the finding that performance impairment is more likely to hold under conditions of low self-concept clarity, in which identity is malleable. The authors discuss the theoretical and practical implications of this finding.",1
A General Choice Model for Bundles with Multiple-Category Products: Application to Market Segmentation and Optimal Pricing for Bundles,Journal of Marketing Research,2003,"The attribute-based approach to study customer choices cannot deal with bundles of heterogeneous components, which are usually drawn from different product categories. The authors develop the comparability-based balance model, which is a unified framework for modeling bundle choices. The model can be employed for any bundle, regardless of the heterogeneity of bundle components, under a pure bundling strategy. The conjoint model and balance model are special cases of the general model. The authors use mixture distributions in a hierarchical Bayesian framework to incorporate consumer heterogeneity in a more flexible manner than the extant approaches such as latent-class and random-coefficient models. The empirical tests of the model show that most attribute effects are significant and consistent with the model's predictions. The model is superior to those that do not consider the issues of comparability of attributes, latent-class structure, and heterogeneity among respondents. The authors show how the model can be used to find market segments for bundles with heterogeneous products in multiple product categories, to estimate individual reservation prices for bundles, and to determine the optimal bundle prices for different market segments.",1
A General Consumer Preference Model for Experience Products: Application to Internet Recommendation Services,Journal of Marketing Research,2012,"The authors present a general consumer preference model for experience products that overcomes the limitations of consumer choice models, especially when it is not easy to consider some qualitative attributes of a product or when there are too many attributes relative to the available amount of preference data, by capturing the effects of unobserved product attributes with the residuals of reference consumers for the same product. They decompose the deterministic component of product utility into two parts: that accounted for by observed attributes and that due to nonobserved attributes. The authors estimate the unobserved component by relating it to the corresponding residuals of virtual experts representing homogeneous groups of people who experienced the product earlier and evaluated it. Their methodology involves identifying such virtual experts and determining the relative importance they should be given in the estimation of the target person's residuals. Using Bayesian estimation methods and Markov chain Monte Carlo simulation inference, the authors apply their approach to two types of consumer preference data: (1) online consumer ratings (stated preferences) data for Internet recommendation services and (2) offline consumer viewership (revealed preferences) data for movies. The results empirically show that this new approach outperforms several alternative collaborative filtering and attribute-based preference models with both in- and out-of-sample fits. The model is applicable to both Internet recommendation services and consumer choice studies.",1
This Logo Moves Me: Dynamic Imagery from Static Images,Journal of Marketing Research,2014,"The authors propose that static visuals can evoke a perception of movement (i.e., dynamic imagery) and thereby affect consumer engagement and attitudes. Focusing on brand logos as the static visual element, the authors measure the perceived movement evoked by the logo and demonstrate that the evoked dynamic imagery affects the level of consumer engagement with the brand logo. They measure consumer engagement through both self-report measures and eye-tracking technology and find that engagement affects consumer attitudes toward the brand. The authors also show that the perceived movement?engagement?attitude effect is moderated by the congruence between perceived movement and brand characteristics. These findings suggest that dynamic imagery is an important aspect of logo design, and if used carefully, it can enhance brand attitudes.",1
Advertising a Desired Change: When Process Simulation Fosters (vs. Hinders) Credibility and Persuasion,Journal of Marketing Research,2020,"Ads promising a desired change are ubiquitous in the marketplace. These ads typically include visuals of the starting and ending point of the promised change (?before/after? ads). ?Progression? ads, which include intermediate steps in addition to starting and ending points, are much rarer in the marketplace. Across several consumer domains, the authors show an ad-type effect: progression ads foster spontaneous simulation of the process through which the change will happen, which makes these ads more credible and, in turn, more persuasive than before/after ads (Studies 1?3). The authors also show that impairing process simulation and high skepticism moderate the ad-type effect (Studies 4?5). Finally, they show effect reversals: if consumers focus on achieving the desired results quickly, and it is possible to do so, progression ads and the associated process simulation backfire in terms of credibility and persuasion (Studies 6?7). These findings contribute to existing research by identifying conditions under which progression ads have beneficial or disadvantageous effects. These findings have managerial implications because they run counter to current marketing practices, which favor before/after over progression ads.",1
The New Product Portfolio Innovativeness?Stock Returns Relationship: The Role of Large Individual Investors? Culture,Journal of Marketing,2018,"The marketing?finance interface literature has investigated the direct link between innovativeness and stock returns. The authors extend this research by focusing on two open questions: How and under what conditions is innovativeness associated with stock returns? Answering these questions is important for managers who have to defend innovation investments to board members and time the introductions of new products. The authors investigate large individual investors and their national culture in the food and beverage industry. Combining multiple data sets, they first examine the relationship between innovativeness and large individual investors? stock holding decisions (i.e., to sell, hold onto, or buy a firm?s stocks). The results indicate that national culture moderates this relationship. At the firm level, the authors show that large investors? stock holding partially mediates the innovativeness?stock returns relationship and that the culture of a firm?s large investors moderates this mediated relationship. Thus, they unveil a special segment of investors, large individual investors, who influence the extent to which firms benefit from innovativeness in the stock market in the food and beverage industry.",0
Toward a Theory of International Services: Marketing Intangibles in a World of Nations,Journal of International Marketing,1996,"This article defines and describes international services from the marketing perspective. A classification of four types of international services is proposed, and a theoretical model of one of these (contact-based services) is developed. With a rich literature on the nature of services, marketing scholars are in a strong position to make valuable contributions to the ongoing debate concerning international services, which has until now been dominated by international economists and trade statisticians.",0
Executive Insights: The Harmonization of Product Country Marking Statutes?Strategic Implications for International Marketers,Journal of International Marketing,1999,"The country marking displayed by a product repeatedly has been found to affect consumer product evaluations. This study provides a detailed examination of the ?tests of transformation? statutes, which form the international basis for determination of country marking. Four major legal tests (name, character, and use; essence; value-added; and article of commerce) are presented, and practical examples are provided to illustrate their strategic uses. Finally, strategic guidelines are provided for global marketing strategists for obtaining appropriate country markings.",0
Rising from the Ashes: How Brands and Categories Can Overcome Product-Harm Crises,Journal of Marketing,2013,"Product-harm crises are omnipresent in today's marketplace. Such crises can cause major revenue and market-share losses, lead to costly product recalls, and destroy carefully nurtured brand equity. Moreover, some of these effects may spill over to nonaffected competitors in the category when they are perceived to be guilty by association. The extant literature lacks generalizable knowledge on the effectiveness of different marketing adjustments that managers often consider to mitigate the consequences of such events. To fill this gap, the authors use large household-scanner panels to analyze 60 fast-moving consumer good product crises that occurred in the United Kingdom and the Netherlands and resulted in the full recall of an entire variety. The authors assess the effects of postcrisis advertising and price adjustments on the change in consumers? brand share and category purchases. In addition, they consider the extent to which the effects are moderated by two key crisis characteristics: the extent of negative publicity surrounding the event and whether the affected brand had to publicly acknowledge blame. Using the empirical findings, the authors provide context-specific managerial recommendations on how to overcome a product-harm crisis.",0
"Cosmopolitanism, Consumer Ethnocentrism, and Materialism: An Eight-Country Study of Antecedents and Outcomes",Journal of International Marketing,2009,"Although there is a consensus that industries are globalizing, the notion that consumer attitudes and behaviors worldwide are likewise homogenizing remains disputed. Despite widespread discourse on this topic, there is a dearth of empirical investigations. This international research examines similarities and differences with respect to the nature of three consumer attitudinal dispositions: cosmopolitanism, consumer ethnocentrism, and materialism. The authors cross-culturally compare demographic antecedents with these dispositions, as well as behavioral outcomes. They test the validation of the construct measures and associated hypotheses using survey data drawn from consumers in eight countries and structural equation modeling techniques, including multigroup analysis. Empirical findings broadly support the cross-cultural applicability of the constructs, though the links to the various demographic antecedents vary considerably from sample to sample. The role of each construct on behavior also varies substantially across the range of product categories considered and across and between national groups.",0
Improving Consumer Mindset Metrics and Shareholder Value through Social Media: The Different Roles of Owned and Earned Media,Journal of Marketing,2018,"Although research has examined the social media?shareholder value link, the role of consumer mindset metrics in this relationship remains unexplored. To this end, drawing on the elaboration likelihood model and accessibility/diagnosticity perspective, the authors hypothesize varying effects of owned and earned social media (OSM and ESM) on brand awareness, purchase intent, and customer satisfaction and link these consumer mindset metrics to shareholder value (abnormal returns and idiosyncratic risk). Analyzing daily data for 45 brands in 21 sectors using vector autoregression models, they find that brand fan following improves all three mindset metrics. ESM engagement volume affects brand awareness and purchase intent but not customer satisfaction, while ESM positive and negative valence have the largest effects on customer satisfaction. OSM increases brand awareness and customer satisfaction but not purchase intent, highlighting a nonlinear effect of OSM. Interestingly, OSM is more likely to increase purchase intent for high involvement utilitarian brands and for brands with higher reputation, implying that running a socially responsible business lends more credibility to OSM. Finally, purchase intent and customer satisfaction positively affect shareholder value.",0
Dynamic Governance Matching in Solution Development,Journal of Marketing,2019,"Facing competitive and commoditization threats, many companies shift to solution offerings, albeit with mixed results. With a qualitative analysis of dyadic data (suppliers and customers), this article investigates an important, often overlooked reason for such mixed outcomes: the complex, dynamic role of governance matching. This study identifies a series of tensions arising from solution-specific exchange conditions and the matched governance mechanisms actors use to address them: temporary asset colocation, network closure, knowledge-based boundary objects, rights allocation agreements, and liaison champions. It also reveals the dynamic nature of governance matching. Solutions evolve in three phases?experimentation, integration, and evolution?in which single mechanisms have different functions (safeguarding and/or coordination), provide contingent and transient benefits, and can be used in combination to address complex tensions. This study also identifies two decision points, mutual commitment and balanced power, that separate the three phases; their outcomes help explain why certain solution efforts do not take off, others stall, and still others revert to mere spot exchanges. Beyond contributing to solutions literature, these findings provide actionable insights to marketing managers.",0
Drivers of International E-Tail Performance: The Complexities of Orientations and Resources,Journal of International Marketing,2010,"Retail e-commerce (e-tail) continues to grow as an important channel of distribution in the global business environment. In this article, the authors present and test a conceptual model of the relationships among firm orientations, strategic resources, and international e-tail performance. Specifically, they investigate the ability of important e-tail firm resources?brand strength and supplier relations?to mediate the effects of market orientation, entrepreneurial orientation, and foreign market orientation on revenue growth and firm performance relative to objectives. Using survey responses from a cross-national sample of 174 marketing and e-commerce decision makers, the authors find support for the role of brand strength and supplier relations as mediators between market and foreign market orientations and firm performance. The study provides managerial insights into the types of orientations and resources that can help drive e-tail performance and contributions regarding the indirect effects of orientations on international marketing performance.",0
The Impact of Counterfeiting on Genuine-Item Consumers? Brand Relationships,Journal of Marketing,2009,"An often-overlooked constituent in the debate on counterfeiting is the consumer of the genuine article?a brand manager's primary constituent. These consumers are drawn to premium brands in part because of the exclusivity and connotation of prestige associated with them. These characteristics are also the reason such brands are attractive targets of counterfeiting. When premium brands are counterfeited, which in turn gives a variety of consumers access to them, how do consumers of the genuine items react to the erosion of exclusivity and prestige? An investigation involving premium brands in Thailand and India reveals that consumers of genuine items adopt one of three strategies when faced with the prospect of their favorite brands being counterfeited: flight (abandoning the brand), reclamation (elaborating the pioneering patronage of a brand), and abranding (disguising all brand cues). The author examines these strategies in detail, revealing how the potential loss of exclusivity and prestige can either drive genuine-item consumers away from the brand or impel them to make strong claims to their patronage.",0
EXPRESS: They?re Just Not that into You: How to Leverage Existing Consumer-Brand Relationships through Social Psychological Distance,Journal of Marketing,2020,"While prevailing marketing practice is to encourage ever stronger relationships between consumers and brands, such relationships are rare and many consumers are relationship-averse or content with the status quo. The authors examine how marketers can more effectively manage existing brand relationships by focusing on the psychological distance between consumers and brands in order to match close (distant) brands with concrete (abstract) language in marketing communications. Through such matching, marketers can create a beneficial mindset-congruency effect leading to more favorable evaluations and behavior, even for brands that are relatively distant to consumers. Study 1 demonstrates the basic mindset-congruency effect and Study 2 shows it is capable of affecting donation behaviors. Study 3 documents two brand-level factors (search versus experience goods, brand stereotypes) that moderate this effect in managerially relevant ways. Study 4 shows that activation of the mindset-congruency effect influences consumers to spend more, and that these behaviors are moderated by consumer category involvement. The authors conclude with marketing and theoretical implications.",0
Franchising versus Company-Run Operations: Modal Choice in the Global Hotel Sector,Journal of International Marketing,1998,"Franchising is already an important component of global strategy in many service sectors such as hotels. This article asks, ?Given a choice between a company-run and a franchised operation, what factors will tip the strategic selection toward franchising, for a particular hotel property?? The modal choice is influenced by both the environment or conditions in the market in which the hotel property is located?as well as the characteristics and strategy of the global hotel firm that is to decide whether to franchise, or run the property themselves. The propensity to franchise is shown to reflect a mix of factors, including: level of development of the intended foreign market; the extent of globalization and international experience of the firm; and strategic factors such as the degree of investment in its global reservations system and brand, as well as the size of its overall operations.",0
A Longitudinal Analysis of Customer Satisfaction and Share of Wallet: Investigating the Moderating Effect of Customer Characteristics,Journal of Marketing,2007,"Customer loyalty is an important strategic objective for all managers. Research has investigated the relationship between customer satisfaction and loyalty in various contexts. However, these predominantly cross-sectional studies have focused on customer retention as the primary measure of loyalty. There has been little investigation into the impact on share of wallet. Using data from the Canadian banking industry, this research aims to (1) provide the first longitudinal examination of the impact of changes in customer satisfaction on changes in share of wallet and (2) determine the moderating effects of customer age, income, education, expertise, and length of relationship. Data from 4319 households using 12,249 observations over a five-year period indicate a positive relationship between changes in satisfaction and share of wallet. In particular, the initial satisfaction level and the conditional percentile of change in satisfaction significantly correspond to changes in share of wallet. Two variables, income and length of the relationship, negatively moderate this relationship. Other demographic and situational characteristics have no impact.",0
Marketing the Unfamiliar: The Role of Context and Item-Specific Information in Electronic Agent Recommendations,Journal of Marketing Research,2002,"Electronic agents have the capacity to help consumers discover new products and generate demand for unfamiliar products. This article explores how consumers respond to recommendations of unfamiliar products made by electronic agents. Two studies using simulated music shopping agents show that (1) additional recommendations of familiar products serve as a context in which unfamiliar recommendations are evaluated; (2) when the presentation of the recommendations makes unfamiliar and familiar products appear similar, evaluative assimilation results; and (3) when additional information about unfamiliar products is given, consumers discriminate them from the familiar products, which produces evaluative contrast. These results establish that information that leads to higher evaluations when context is absent can lead to contrast and lower evaluations in the presence of attractive contextual recommendations.",1
Strategic Marketing Planning for Radically New Products,Journal of Marketing,2000,"In this article, the author outlines an approach to marketing planning for radically new products, disruptive or discontinuous innovations that change the dimensionality of the consumer decision. The planning process begins with an extensive situation analysis. The factors identified in the situation analysis are woven into the economic webs surrounding the new product. The webs are mapped into Bayesian networks that can be updated as events unfold and used to simulate the impact that changes in assumptions underlying the web have on the prospects for the new product. The author illustrates this method using a historical case regarding the introduction of videotape recorders by Sony and JVC and a contemporary case of the introduction of electric vehicles. The author provides a complete, numerical example pertaining to a software development project in the Appendix.",0
